NUSER,LOAD_0,LOAD_1,LOAD_2,SR,RES_TIME_get_related,RES_TIME_get_address,RES_TIME_get_orders,RES_TIME_get_cart,RES_TIME_add_item_to_cart,RES_TIME_get_catalogue2,RES_TIME_get_tags,RES_TIME_get_card,RES_TIME_login,RES_TIME_get_item,RES_TIME_get_customer,RES_TIME_get_catalogue1,RES_TIME_get_catalogue3,CPU_get_related,CPU_get_address,CPU_get_orders,CPU_get_cart,CPU_add_item_to_cart,CPU_get_catalogue2,CPU_get_tags,CPU_get_card,CPU_login,CPU_get_item,CPU_get_customer,CPU_get_catalogue1,CPU_get_catalogue3,MEM_get_related,MEM_get_address,MEM_get_orders,MEM_get_cart,MEM_add_item_to_cart,MEM_get_catalogue2,MEM_get_tags,MEM_get_card,MEM_login,MEM_get_item,MEM_get_customer,MEM_get_catalogue1,MEM_get_catalogue3
1,1,0,0,1,48.1476679915123,0.0,0.0,53.231864485174015,0.0,46.721909525404506,45.585259516941335,0.0,0.0,46.89567349152824,47.34769602119911,4.025296194891256,4.466109542363483,2.216666666666667,1.45,2.0,31.78333333333333,31.78333333333333,2.216666666666667,2.216666666666667,1.45,1.45,2.216666666666667,1.45,2.216666666666667,2.216666666666667,4.216666666666667,4.45,310.0,307.8,307.8,4.216666666666667,4.216666666666667,4.45,4.45,4.216666666666667,4.45,4.216666666666667,4.216666666666667
1,1,0,0,1,47.564234758317525,0.0,0.0,48.07158939583,0.0,47.327464891642045,45.38969417499175,0.0,0.0,46.79098948331557,47.14034418749028,3.8206385500169895,4.106036458354841,2.2888888888888888,1.6444444444444444,1.6833333333333331,6.216666666666667,6.216666666666667,2.2888888888888888,2.2888888888888888,1.6444444444444444,1.6444444444444444,2.2888888888888888,1.6444444444444444,2.2888888888888888,2.2888888888888888,5.0,5.0,310.0,311.3388888888889,311.3388888888889,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,0,0,1,47.40162290000095,0.0,0.0,48.1727405854239,0.0,47.02693545002603,45.2479793999828,0.0,0.0,47.14595932500743,47.119266654164,3.781921874997352,4.250660433353914,2.2,1.6,2.0,10.166666666666666,10.166666666666666,2.2,2.2,1.6,1.6,2.2,1.6,2.2,2.2,5.0,5.0,310.0,310.27777777777777,310.27777777777777,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,0,0,1,47.92133755000047,0.0,0.0,48.39148794167348,0.0,46.89412707501409,45.59072742501561,0.0,0.0,46.67552732499493,47.568715716664656,3.816637920831075,4.172994699990795,2.316666666666667,1.5,1.6833333333333331,8.766666666666667,8.766666666666667,2.316666666666667,2.316666666666667,1.5,1.5,2.316666666666667,1.5,2.316666666666667,2.316666666666667,5.0,5.0,310.0,307.31666666666666,307.31666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,0,0,1,47.6803540833392,0.0,0.0,48.40037432290672,0.0,46.83440157497595,45.00287758333646,0.0,0.0,46.616127908324266,46.72341706667377,3.753628091652672,4.199977041677509,2.4166666666666665,1.55,1.6833333333333331,7.816666666666666,7.816666666666666,2.4166666666666665,2.4166666666666665,1.55,1.55,2.4166666666666665,1.55,2.4166666666666665,2.4166666666666665,5.0,5.0,310.0,308.78333333333336,308.78333333333336,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,0,0,5,48.03854487472563,0.0,0.0,48.28995007322495,0.0,46.759443974709335,45.80024226670503,0.0,0.0,46.74250231643479,47.45817683306086,3.881336779583459,4.228519257352066,2.227777777777778,1.4555555555555555,1.3666666666666667,3.227777777777778,3.227777777777778,2.227777777777778,2.227777777777778,1.4555555555555555,1.4555555555555555,2.227777777777778,1.4555555555555555,2.227777777777778,2.227777777777778,7.0,8.0,331.0,326.0,326.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0
1,1,0,0,5,48.07928450863983,0.0,0.0,47.91038577707999,0.0,47.13989730868585,45.82599115019548,0.0,0.0,46.88685969170668,47.387906508447486,3.91358439137548,4.230155890763854,2.311111111111111,1.6555555555555554,1.9833333333333332,3.311111111111111,3.311111111111111,2.311111111111111,2.311111111111111,1.6555555555555554,1.6555555555555554,2.311111111111111,1.6555555555555554,2.311111111111111,2.311111111111111,7.0,7.0,331.0,326.0,326.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1,1,0,0,5,48.22327730071265,0.0,0.0,48.00903685384886,0.0,46.9698060163258,45.57211514256778,0.0,0.0,46.62385418305348,47.70824017159612,3.9774490798057136,4.173796600540906,2.2111111111111112,1.6055555555555556,1.3944444444444444,3.1333333333333333,3.1333333333333333,2.2111111111111112,2.2111111111111112,1.6055555555555556,1.6055555555555556,2.2111111111111112,1.6055555555555556,2.2111111111111112,2.2111111111111112,7.0,7.0,331.0,326.0,326.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1,1,0,0,5,48.18839360814309,0.0,0.0,48.00221027117004,0.0,46.673700674485495,45.690735724929255,0.0,0.0,46.62620761700964,47.50993740417471,3.9574738417286426,4.326695424000111,2.327777777777778,1.5055555555555555,1.4944444444444445,3.327777777777778,3.327777777777778,2.327777777777778,2.327777777777778,1.5055555555555555,1.5055555555555555,2.327777777777778,1.5055555555555555,2.327777777777778,2.327777777777778,7.0,7.4944444444444445,331.0,326.0,326.0,7.0,7.0,7.4944444444444445,7.4944444444444445,7.0,7.4944444444444445,7.0,7.0
1,1,0,0,5,48.040094474345096,0.0,0.0,48.090900197955,0.0,46.96444248305246,45.79994297588807,0.0,0.0,46.78180306606615,47.33998066252146,3.904289387113143,4.31335037513539,2.4277777777777776,1.5555555555555556,1.6833333333333331,3.4277777777777776,3.4277777777777776,2.4277777777777776,2.4277777777777776,1.5555555555555556,1.5555555555555556,2.4277777777777776,1.5555555555555556,2.4277777777777776,2.4277777777777776,7.0,7.0,331.0,326.0,326.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
