NUSER,LOAD_0,LOAD_1,LOAD_2,SR,RES_TIME_s0,RES_TIME_s1,RES_TIME_s2,RES_TIME_s3,RES_TIME_s4,RES_TIME_s5,RES_TIME_s6,RES_TIME_s7,RES_TIME_s8,RES_TIME_s9,CPU_s0,CPU_s1,CPU_s2,CPU_s3,CPU_s4,CPU_s5,CPU_s6,CPU_s7,CPU_s8,CPU_s9,MEM_s0,MEM_s1,MEM_s2,MEM_s3,MEM_s4,MEM_s5,MEM_s6,MEM_s7,MEM_s8,MEM_s9
1,1,0,0,1,6.37365857048104,6.952637885945475,4.812581338642327,1.5514586293806882,4.78885226254418,2.2076519197743667,2.237904566560156,4.794050996988846,1.5548482750416173,2.231050149351755,5.705555555555556,7.316666666666666,8.616666666666667,3.911111111111111,11.033333333333331,5.705555555555556,4.094444444444444,4.9,3.4166666666666665,4.9,108.0,126.0,126.49444444444444,62.0,127.49444444444444,121.80555555555556,114.18333333333334,117.49444444444444,62.0,117.18333333333334
1,1,0,0,1,6.366988343784777,6.963833108967371,4.949826669327271,1.6062170312409307,4.693783324615072,2.249977020237382,2.2927156980455,4.944831442337991,1.5855134274935732,2.24017765571418,6.211111111111111,7.477777777777778,8.433333333333334,4.322222222222222,10.8,6.377777777777778,4.011111111111111,5.111111111111111,3.3666666666666667,4.944444444444445,108.0,128.4777777777778,128.7888888888889,62.0,130.0,124.0,118.0,120.78888888888888,62.0,121.16666666666669
1,1,0,0,1,6.349724204543153,6.75160587915453,4.975248705102605,1.5494406973743935,4.899269783277375,2.2363207454247176,2.298305999994517,4.885488688582038,1.5870100350341068,2.2454558772088813,5.677777777777778,7.005555555555556,8.616666666666667,3.938888888888889,10.355555555555556,6.072222222222222,4.161111111111111,5.266666666666667,3.5444444444444443,4.872222222222222,108.0,128.0,128.0,62.0,130.0,124.0,117.41111111111113,119.41111111111113,62.0,120.71111111111112
1,1,0,0,1,6.426721549639441,7.046881261958217,4.848262821236613,1.56524339936309,4.736811449555604,2.213274674925469,2.2862312309891584,4.784574424788615,1.5904521463258972,2.2496204012130017,5.9,6.466666666666667,8.733333333333333,4.144444444444445,10.488888888888887,6.155555555555556,4.2,5.333333333333333,3.633333333333333,5.022222222222222,108.0,126.87777777777778,127.0,62.0,128.87777777777777,122.87777777777778,115.56666666666666,118.56666666666666,62.0,118.25555555555556
1,1,0,0,1,6.34306007795612,6.927284056034599,4.911818176274446,1.5925530140962942,4.8533955983592,2.246456475279626,2.2137007113111187,4.881401542141767,1.5649504070715454,2.205209308349708,5.45,7.633333333333334,7.677777777777778,3.8666666666666663,11.444444444444445,6.377777777777778,3.8666666666666663,4.483333333333333,3.844444444444445,4.794444444444444,108.0,128.0,127.33333333333331,62.0,129.33333333333334,123.33333333333331,116.02222222222224,119.0,62.0,119.33333333333331
1,1,0,0,5,6.397499250057195,7.115888590305985,4.966100041136106,1.589110445860095,4.779306627749958,2.2432015636585043,2.266662350056773,4.7813593651210935,1.6127186908948608,2.2536799944329844,5.472222222222222,6.883333333333334,8.605555555555556,4.372222222222222,10.255555555555556,6.333333333333333,4.372222222222222,4.9944444444444445,3.583333333333333,5.233333333333333,125.0,150.0,154.0,63.0,154.0,147.0,141.0,143.0,63.0,144.0
1,1,0,0,5,6.638764569970067,6.942515534933063,4.894118355198168,1.5562981675910077,4.67069823464838,2.324699428767352,2.2902249857572863,4.8691186172764445,1.6101932878785408,2.282172360868494,6.211111111111111,7.655555555555556,8.2,4.066666666666666,11.255555555555556,6.277777777777778,3.988888888888889,4.833333333333333,3.755555555555556,5.133333333333334,125.0,150.0,154.84444444444443,63.0,154.3111111111111,147.0,141.0,143.84444444444443,63.0,144.0
1,1,0,0,5,6.715452290003403,6.727399832933314,4.988282187706336,1.6840731272315217,4.817094268307811,2.2851445590256416,2.3006711069194288,4.859555228174548,1.560516936877989,2.2583113033241324,5.477777777777778,7.022222222222222,8.866666666666667,4.55,10.572222222222225,6.25,3.933333333333333,5.011111111111111,3.316666666666667,5.322222222222222,125.0,150.0,154.4611111111111,63.0,154.0,147.0,141.0,143.61666666666667,63.0,144.0
1,1,0,0,5,6.578524819603556,7.245333150666277,4.927016304748122,1.5796092225248737,4.880583851635768,2.304271298928046,2.300740810250303,4.777988513004467,1.5606238553054552,2.2913193343703333,5.977777777777778,7.533333333333333,9.077777777777778,4.422222222222223,11.572222222222225,6.6,4.111111111111111,4.738888888888889,3.8,5.361111111111111,125.0,150.0,154.30555555555554,63.0,154.0,147.0,141.0,143.0,63.0,144.0
1,1,0,0,5,6.548151700756244,7.051893739585774,4.9488001908983605,1.5985422398324916,4.724470631432604,2.352844569566728,2.2925193963095416,4.950709736731369,1.6159617140297462,2.29419418510053,6.288888888888889,6.988888888888889,8.0,4.188888888888889,10.955555555555556,6.288888888888889,4.111111111111111,4.5,3.8,5.122222222222222,125.0,150.0,154.3111111111111,63.0,154.0,147.0,141.0,143.0,63.0,144.0
