NUSER,LOAD,SR,REQ/s_s0,RES_TIME_s0,CPU_s0,MEM_s0,REQ/s_s1,RES_TIME_s1,CPU_s1,MEM_s1,REQ/s_s2,RES_TIME_s2,CPU_s2,MEM_s2,REQ/s_s3,RES_TIME_s3,CPU_s3,MEM_s3,REQ/s_s4,RES_TIME_s4,CPU_s4,MEM_s4,REQ/s_s5,RES_TIME_s5,CPU_s5,MEM_s5,REQ/s_s6,RES_TIME_s6,CPU_s6,MEM_s6,REQ/s_s7,RES_TIME_s7,CPU_s7,MEM_s7,REQ/s_s8,RES_TIME_s8,CPU_s8,MEM_s8,REQ/s_s9,RES_TIME_s9,CPU_s9,MEM_s9
1,randomly_balanced,1,2.535114648710956,6.37365857048104,5.705555555555556,108.0,2.1051502699648243,6.952637885945475,7.316666666666666,126.0,2.110734222935553,4.812581338642327,8.616666666666667,126.49444444444444,1.5970105496284872,1.5514586293806882,3.911111111111111,62.0,1.892960057077123,4.78885226254418,11.033333333333331,127.49444444444444,1.9487995867844128,2.2076519197743667,5.705555555555556,121.80555555555556,2.138653987789198,2.237904566560156,4.094444444444444,114.18333333333334,1.85387238628202,4.794050996988846,4.9,117.49444444444444,1.5635068318041134,1.5548482750416173,3.4166666666666665,62.0,1.7198575149845248,2.231050149351755,4.9,117.18333333333334
1,randomly_balanced,1,2.4854019468195343,6.366988343784777,6.211111111111111,108.0,1.99949190328403,6.963833108967371,7.477777777777778,128.4777777777778,2.060928805340243,4.949826669327271,8.433333333333334,128.7888888888889,1.7872553325443843,1.6062170312409307,4.322222222222222,62.0,1.9268846553994143,4.693783324615072,10.8,130.0,2.211728474023676,2.249977020237382,6.377777777777778,124.0,2.016247422026633,2.2927156980455,4.011111111111111,118.0,1.7928405054585854,4.944831442337991,5.111111111111111,120.78888888888888,1.502411513920123,1.5855134274935732,3.3666666666666667,62.0,1.6867222200887626,2.24017765571418,4.944444444444445,121.16666666666669
1,randomly_balanced,1,2.458467013400986,6.349724204543153,5.677777777777778,108.0,2.03382271108627,6.75160587915453,7.005555555555556,128.0,2.084109536360381,4.975248705102605,8.616666666666667,128.0,1.698577209258863,1.5494406973743935,3.938888888888889,62.0,1.804738284837542,4.899269783277375,10.355555555555556,130.0,2.1511586367258624,2.2363207454247176,6.072222222222222,124.0,2.03382271108627,2.298305999994517,4.161111111111111,117.41111111111113,1.8661999601725665,4.885488688582038,5.266666666666667,119.41111111111113,1.7544514595634308,1.5870100350341068,3.5444444444444443,62.0,1.592416133680184,2.2454558772088813,4.872222222222222,120.71111111111112
1,randomly_balanced,1,2.421419766581217,6.426721549639441,5.9,108.0,1.7503565518242978,7.046881261958217,6.466666666666667,126.87777777777778,2.158586674134757,4.848262821236613,8.733333333333333,127.0,1.7223955845427594,1.56524339936309,4.144444444444445,62.0,1.9404911293387583,4.736811449555604,10.488888888888887,128.87777777777777,2.029966224639681,2.213274674925469,6.155555555555556,122.87777777777778,2.130625706853219,2.2862312309891584,4.2,115.56666666666666,1.8957535816882969,4.784574424788615,5.333333333333333,118.56666666666666,1.6049595219602986,1.5904521463258972,3.633333333333333,62.0,1.8398316471252203,2.2496204012130017,5.022222222222222,118.25555555555556
1,randomly_balanced,1,2.437398200776562,6.34306007795612,5.45,108.0,2.096386067181676,6.927284056034599,7.633333333333334,128.0,1.93426554465296,4.911818176274446,7.677777777777778,127.33333333333331,1.587663048212256,1.5925530140962942,3.8666666666666663,62.0,2.0181209873402266,4.8533955983592,11.444444444444445,129.33333333333334,2.0348920758776803,2.246456475279626,6.377777777777778,123.33333333333331,2.1690607841773075,2.2137007113111187,3.8666666666666663,116.02222222222224,1.52616905690826,4.881401542141767,4.483333333333333,119.0,1.7441932078951543,1.5649504070715454,3.844444444444445,62.0,1.9398559074987776,2.205209308349708,4.794444444444444,119.33333333333331
1,randomly_balanced,5,2.480767033310424,6.397499250057195,5.472222222222222,125.0,1.9220357195017697,7.115888590305985,6.883333333333334,150.0,2.1734648107156644,4.966100041136106,8.605555555555556,154.0,1.5420984261118853,1.589110445860095,4.372222222222222,63.0,1.771178264773433,4.779306627749958,10.255555555555556,154.0,2.1120043661967123,2.2432015636585043,6.333333333333333,147.0,2.329909578582088,2.266662350056773,4.372222222222222,141.0,1.6985431939783084,4.7813593651210935,4.9944444444444445,143.0,1.519749173559539,1.6127186908948608,3.583333333333333,63.0,1.9276230326398565,2.2536799944329844,5.233333333333333,144.0
1,randomly_balanced,5,2.4309570156331786,6.638764569970067,6.211111111111111,125.0,1.9224119847765828,6.942515534933063,7.655555555555556,150.0,1.7938786253293113,4.894118355198168,8.2,154.84444444444443,1.7994670322618014,1.5562981675910077,4.066666666666666,63.0,2.023003309561404,4.67069823464838,11.255555555555556,154.3111111111111,2.0062380887639337,2.324699428767352,6.277777777777778,147.0,2.296835249253417,2.2902249857572863,3.988888888888889,141.0,1.8106438461267813,4.8691186172764445,4.833333333333333,143.84444444444443,1.5703423480297083,1.6101932878785408,3.755555555555556,63.0,1.8274090669242515,2.282172360868494,5.133333333333334,144.0
1,randomly_balanced,5,2.48420318845804,6.715452290003403,5.477777777777778,125.0,1.970615113540872,6.727399832933314,7.022222222222222,150.0,2.026439904292738,4.988282187706336,8.866666666666667,154.4611111111111,1.7975582622100872,1.6840731272315217,4.55,63.0,1.8310531366612068,4.817094268307811,10.572222222222225,154.0,1.987362550766432,2.2851445590256416,6.25,147.0,2.1994967556235228,2.3006711069194288,3.933333333333333,141.0,1.8366356157363928,4.859555228174548,5.011111111111111,143.61666666666667,1.4123672060222112,1.560516936877989,3.316666666666667,63.0,1.914790322789006,2.2583113033241324,5.322222222222222,144.0
1,randomly_balanced,5,2.4575166899475063,6.578524819603556,5.977777777777778,125.0,2.0479305749562555,7.245333150666277,7.533333333333333,150.0,2.154535180227951,4.927016304748122,9.077777777777778,154.30555555555554,1.688841378251597,1.5796092225248737,4.422222222222223,63.0,1.93010443228754,4.880583851635768,11.572222222222225,154.0,1.8964398200964776,2.304271298928046,6.6,147.0,2.098427493242848,2.300740810250303,4.111111111111111,141.0,1.728116759141169,4.777988513004467,4.738888888888889,143.0,1.593458310376922,1.5606238553054552,3.8,63.0,1.845942901809885,2.2913193343703333,5.361111111111111,144.0
1,randomly_balanced,5,2.707440100783701,6.548151700756244,6.288888888888889,125.0,1.8198463357845085,7.051893739585774,6.988888888888889,150.0,1.8700874922938964,4.9488001908983605,8.0,154.3111111111111,1.7919345821681814,1.5985422398324916,4.188888888888889,63.0,1.998481558929,4.724470631432604,10.955555555555556,154.0,2.087799170501245,2.352844569566728,6.288888888888889,147.0,2.126875625564104,2.2925193963095416,4.111111111111111,141.0,1.6747052169796088,4.950709736731369,4.5,143.0,1.4849052923885864,1.6159617140297462,3.8,63.0,1.8979992459102235,2.29419418510053,5.122222222222222,144.0
1,randomly_balanced,10,2.6292779347423605,6.272160846844065,6.2,127.0,1.864498577927704,7.005000092499767,6.905555555555556,154.0,1.99847452364706,4.964412793233554,8.233333333333333,156.0,1.6356230039904704,1.575707024084118,4.572222222222222,63.0,1.9705628682888603,4.797963002357281,11.144444444444444,161.92777777777778,2.121285807223136,2.2581583156256544,6.25,150.0,2.2273500975842926,2.309590282883229,4.311111111111111,142.0,1.808675267211305,4.990325502328716,5.233333333333333,146.0,1.4011650989815976,1.652080378487272,3.605555555555556,63.0,1.8030929361396653,2.3179798018102225,5.277777777777778,145.0
1,randomly_balanced,10,2.395202976704809,6.639278652875072,5.516666666666667,127.0,1.982044421282534,6.963641396977834,7.405555555555556,155.0,2.1216250143306,4.906586966037714,8.733333333333333,156.95555555555555,1.8312973807906232,1.586179201694904,4.555555555555555,63.0,1.8871296180098496,4.863082059364926,10.683333333333334,161.95555555555555,1.9150457366194624,2.3023370148867923,6.45,150.0,2.138374685496368,2.314265884958115,3.905555555555555,142.0,1.7754651435713968,4.910670257826576,4.866666666666666,146.0,1.619134879357563,1.5944745726301337,3.8777777777777778,63.0,1.7977980384590873,2.2279450094406146,5.177777777777778,145.0
1,randomly_balanced,10,2.505771995110225,6.460221332140352,5.938888888888889,127.0,2.0648900627857087,7.078827708224904,7.394444444444445,155.0,1.9644359516231609,5.083251207410782,8.85,156.3111111111111,1.847239488600188,1.603622407977064,4.483333333333333,63.0,1.7691085132515398,4.641890133145686,10.838888888888889,161.61666666666667,2.0983747665065584,2.3121666833910064,6.511111111111111,150.0,2.143021038134357,2.298093877432924,4.483333333333333,142.0,1.847239488600188,4.902553099757651,5.055555555555555,146.0,1.406357556275672,1.6438276386271888,3.605555555555556,63.0,1.808174000925864,2.284202836798849,5.055555555555555,145.0
