NUSER,LOAD_0,LOAD_1,LOAD_2,SR,RES_TIME_get_catalogue2,RES_TIME_get_customer,RES_TIME_get_orders,RES_TIME_get_cart,RES_TIME_get_card,RES_TIME_get_address,RES_TIME_login,RES_TIME_get_related,RES_TIME_get_catalogue3,RES_TIME_get_catalogue1,RES_TIME_add_item_to_cart,RES_TIME_get_tags,RES_TIME_get_item,CPU_get_catalogue2,CPU_get_customer,CPU_get_orders,CPU_get_cart,CPU_get_card,CPU_get_address,CPU_login,CPU_get_related,CPU_get_catalogue3,CPU_get_catalogue1,CPU_add_item_to_cart,CPU_get_tags,CPU_get_item,MEM_get_catalogue2,MEM_get_customer,MEM_get_orders,MEM_get_cart,MEM_get_card,MEM_get_address,MEM_login,MEM_get_related,MEM_get_catalogue3,MEM_get_catalogue1,MEM_add_item_to_cart,MEM_get_tags,MEM_get_item
1,1,0,0,1,46.77261788338001,45.29199873759353,0.0,48.90656058126979,0.0,0.0,0.0,46.277000058322905,3.7158365834026577,3.4905620333347542,0.0,44.71918355828469,46.81313479154596,2.2555555555555555,1.0,2.0,16.105555555555554,1.0,1.0,1.0,2.2555555555555555,2.2555555555555555,2.2555555555555555,16.105555555555554,2.2555555555555555,2.2555555555555555,4.583333333333333,4.572222222222222,356.0,367.7944444444444,4.572222222222222,4.572222222222222,4.572222222222222,4.583333333333333,4.583333333333333,4.583333333333333,367.7944444444444,4.583333333333333,4.583333333333333
1,1,0,0,1,46.94920835532113,44.89999336359583,0.0,46.39567629422985,0.0,0.0,0.0,45.10223544630283,3.5785617024389054,3.293361926233822,0.0,44.53515846287415,46.48721555366303,2.2333333333333334,1.0,2.0,5.705555555555556,1.0,1.0,1.0,2.2333333333333334,2.2333333333333334,2.2333333333333334,5.705555555555556,2.2333333333333334,2.2333333333333334,6.0,6.0,356.0,367.3833333333333,6.0,6.0,6.0,6.0,6.0,6.0,367.3833333333333,6.0,6.0
1,1,0,0,1,46.89984566109408,45.0097535743804,0.0,46.433957684603605,0.0,0.0,0.0,45.38754176852413,3.558425537215773,3.3213353278638427,0.0,44.62857428928349,46.65330343804956,2.1666666666666665,1.3111111111111111,2.0,8.222222222222221,1.3111111111111111,1.3111111111111111,1.3111111111111111,2.1666666666666665,2.1666666666666665,2.1666666666666665,8.222222222222221,2.1666666666666665,2.1666666666666665,6.0,6.0,356.0,368.5444444444444,6.0,6.0,6.0,6.0,6.0,6.0,368.5444444444444,6.0,6.0
1,1,0,0,1,46.733778347012304,45.24855680155127,0.0,47.07020153923133,0.0,0.0,0.0,45.48797907444183,3.629878190096395,3.393217210663547,0.0,44.56794254557198,46.749168859515365,2.411111111111111,1.0,2.0,7.955555555555556,1.0,1.0,1.0,2.411111111111111,2.411111111111111,2.411111111111111,7.955555555555556,2.411111111111111,2.411111111111111,6.0,5.394444444444445,356.0,369.3222222222222,5.394444444444445,5.394444444444445,5.394444444444445,6.0,6.0,6.0,369.3222222222222,6.0,6.0
1,1,0,0,1,46.68394808261138,44.861504061966926,0.0,46.55164721490027,0.0,0.0,0.0,45.31117084300882,3.6097916116518753,3.2753400083335187,0.0,44.84826157026836,46.64828423137655,2.25,1.0,2.0,6.522222222222222,1.0,1.0,1.0,2.25,2.25,2.25,6.522222222222222,2.25,2.25,6.0,6.0,356.0,368.6166666666667,6.0,6.0,6.0,6.0,6.0,6.0,368.6166666666667,6.0,6.0
1,1,0,0,5,46.581535199974645,48.37639060084265,0.0,48.02923289562842,0.0,0.0,0.0,48.2337321932888,4.574854524988344,4.5495249291718665,0.0,46.66296616668433,46.29948975628035,2.9277777777777776,1.7444444444444445,2.0,6.2,1.7444444444444445,1.7444444444444445,1.7444444444444445,2.9277777777777776,2.9277777777777776,2.9277777777777776,6.2,2.9277777777777776,2.9277777777777776,6.0,6.0,354.0,354.5611111111112,6.0,6.0,6.0,6.0,6.0,6.0,354.5611111111112,6.0,6.0
1,1,0,0,5,46.62068778333151,48.16128985000129,0.0,47.86574206667069,0.0,0.0,0.0,48.3707807731104,4.540802316680963,4.522795374993886,0.0,46.48501677500197,46.35291783332794,2.9055555555555554,1.65,2.3,8.783333333333333,1.65,1.65,1.65,2.9055555555555554,2.9055555555555554,2.9055555555555554,8.783333333333333,2.9055555555555554,2.9055555555555554,6.0,6.0,354.0,354.30555555555554,6.0,6.0,6.0,6.0,6.0,6.0,354.30555555555554,6.0,6.0
1,1,0,0,5,46.59780474788809,48.17738836555584,0.0,49.40974263654992,0.0,0.0,0.0,48.330823310928224,4.530783016795848,4.502055147049148,0.0,46.45042489916223,46.51426105881513,2.727777777777778,1.7777777777777777,2.0,11.177777777777775,1.7777777777777777,1.7777777777777777,1.7777777777777777,2.727777777777778,2.727777777777778,2.727777777777778,11.177777777777775,2.727777777777778,2.727777777777778,6.0,6.0,354.0,349.2055555555556,6.0,6.0,6.0,6.0,6.0,6.0,349.2055555555556,6.0,6.0
1,1,0,0,5,46.535836608359205,48.099353298313005,0.0,48.484871219208046,0.0,0.0,0.0,48.28727729410894,4.551306283341698,4.535282958336022,0.0,46.39529919166421,46.383088428567,2.7333333333333334,1.5611111111111111,2.0,8.622222222222222,1.5611111111111111,1.5611111111111111,1.5611111111111111,2.7333333333333334,2.7333333333333334,2.7333333333333334,8.622222222222222,2.7333333333333334,2.7333333333333334,6.0,6.0,354.0,351.8222222222222,6.0,6.0,6.0,6.0,6.0,6.0,351.8222222222222,6.0,6.0
1,1,0,0,10,46.7382121079936,45.18857919159321,0.0,49.50152528566226,0.0,0.0,0.0,45.34353423308252,3.6357939166312767,3.557360775084817,0.0,44.5614146917554,46.48806560016965,2.183333333333333,1.0,2.0,16.38888888888889,1.0,1.0,1.0,2.183333333333333,2.183333333333333,2.183333333333333,16.38888888888889,2.183333333333333,2.183333333333333,4.183333333333334,4.183333333333334,359.0,331.05555555555554,4.183333333333334,4.183333333333334,4.183333333333334,4.183333333333334,4.183333333333334,4.183333333333334,331.05555555555554,4.183333333333334,4.183333333333334
